time,iteration,size,seconds,microseconds
1522543778, 160, 3224957, 4, 828595
1522543779, 161, 437643, 0, 719401
1522543786, 162, 4919186, 6, 868938
1522543787, 163, 1087667, 1, 637918
1522543789, 164, 1511855, 2, 34418
1522543791, 165, 1278476, 2, 105123
1522543796, 166, 3224957, 4, 356351
1522543799, 167, 1615289, 2, 857074
1522543802, 168, 1615289, 2, 974075
1522543803, 169, 1087667, 1, 636509
1522543807, 170, 3224957, 3, 998746
1522543809, 171, 951239, 1, 367316
1522543813, 172, 3224957, 4, 667907
1522543818, 173, 3224957, 4, 250519
1522543822, 174, 1615289, 4, 449137
1522543825, 175, 1511855, 2, 557638
1522543826, 176, 1278476, 1, 843608
1522543828, 177, 1087667, 1, 546017
1522543830, 178, 1000535, 1, 832352
1522543832, 179, 1087667, 2, 252627
1522543837, 180, 3688570, 4, 858712
1522543838, 181, 437643, 1, 501824
1522543840, 182, 437643, 1, 624533
1522543841, 183, 951239, 1, 333359
1522543842, 184, 437643, 0, 486557
1522543844, 185, 1087667, 2, 347639
1522543847, 186, 1615289, 2, 387964
1522543851, 187, 3688570, 4, 710499
1522543853, 188, 1511855, 1, 941864
1522543856, 189, 1511855, 2, 354367
1522543862, 190, 4919186, 6, 861910
1522543864, 191, 1087667, 1, 229758
1522543865, 192, 1278476, 1, 737096
1522543871, 193, 3224957, 5, 125573
1522543873, 194, 1615289, 2, 250216
1522543880, 195, 4919186, 7, 470764
1522543886, 196, 4919186, 5, 734803
1522543891, 197, 3224957, 4, 882499
1522543892, 198, 1000535, 1, 362657
1522543895, 199, 1615289, 2, 866919
1522543897, 200, 1615289, 2, 255294
1522543899, 201, 1511855, 1, 944048
1522543900, 202, 437643, 0, 522939
1522543900, 203, 437643, 0, 602958
1522543903, 204, 1615289, 2, 742679
1522543905, 205, 1615289, 1, 869776
1522543907, 206, 1087667, 1, 735006
1522543909, 207, 1087667, 2, 252142
1522543911, 208, 1087667, 1, 634805
1522543918, 209, 4919186, 7, 65495
1522543920, 210, 1615289, 2, 358606
1522543922, 211, 1087667, 1, 537858
1522543923, 212, 1000535, 1, 486884
1522543925, 213, 1278476, 1, 784085
1522543931, 214, 4919186, 6, 550882
1522543933, 215, 1087667, 1, 550600
1522543935, 216, 1000535, 1, 857262
1522543938, 217, 1511855, 2, 632802
1522543940, 218, 951239, 2, 47644
1522543942, 219, 951239, 2, 48239
1522543943, 220, 1278476, 1, 535713
1522543946, 221, 1511855, 3, 173603
1522543948, 222, 1000535, 1, 432858
1522543949, 223, 1000535, 1, 433643
1522543951, 224, 1087667, 1, 505257
1522543952, 225, 951239, 1, 54484
1522543953, 226, 1087667, 1, 535540
1522543954, 227, 437643, 0, 494990
1522543957, 228, 1511855, 2, 780666
1522543958, 229, 1000535, 1, 740011
1522543960, 230, 1278476, 2, 153189
1522543961, 231, 437643, 0, 508677
1522543967, 232, 3688570, 5, 631631
1522543967, 233, 437643, 0, 503307
1522543972, 234, 3224957, 4, 513899
1522543974, 235, 1511855, 1, 944654
1522543978, 236, 3688570, 4, 710387
1522543982, 237, 3224957, 3, 909938
1522543984, 238, 1000535, 1, 620170
1522543986, 239, 1278476, 1, 753423
1522543989, 240, 1615289, 3, 272620
1522543991, 241, 1511855, 2, 549202
1522543994, 242, 1615289, 2, 251890
1522543995, 243, 1615289, 1, 842803
1522543996, 244, 437643, 0, 470671
1522543997, 245, 951239, 1, 474060
1522543999, 246, 1000535, 1, 128474
1522544001, 247, 951239, 2, 352412
1522544003, 248, 1511855, 2, 456773
1522544005, 249, 1615289, 1, 842915
1522544007, 250, 1000535, 1, 537121
1522544008, 251, 1087667, 1, 536385
1522544014, 252, 3688570, 5, 526823
1522544016, 253, 1615289, 2, 670378
1522544021, 254, 3224957, 5, 9198
1522544027, 255, 3688570, 5, 440311
1522544029, 256, 1511855, 2, 136625
1522544031, 257, 1278476, 2, 252499
1522544034, 258, 1511855, 2, 661649
1522544039, 259, 3224957, 4, 812775
1522544041, 260, 1000535, 1, 945823
1522544045, 261, 3224957, 4, 721982
1522544047, 262, 1000535, 1, 318342
1522544049, 263, 1000535, 2, 354188
1522544054, 264, 3688570, 4, 947817
1522544059, 265, 3224957, 4, 780068
1522544061, 266, 1278476, 1, 740953
1522544065, 267, 3224957, 3, 890319
1522544067, 268, 1278476, 2, 252290
1522544074, 269, 4919186, 7, 372242
1522544081, 270, 4919186, 6, 963592
1522544086, 271, 3688570, 4, 917542
1522544091, 272, 3224957, 5, 462028
1522544098, 273, 4919186, 6, 105445
1522544100, 274, 1615289, 2, 774796
1522544107, 275, 4919186, 6, 541142
1522544109, 276, 1511855, 1, 946040
1522544111, 277, 1000535, 2, 356092
1522544116, 278, 3224957, 4, 809993
1522544121, 279, 3688570, 4, 711155
1522544122, 280, 951239, 1, 534903
1522544125, 281, 1511855, 2, 604166
1522544127, 282, 1278476, 2, 538284
1522544133, 283, 3224957, 6, 17446
1522544138, 284, 3688570, 4, 624573
1522544140, 285, 951239, 1, 947702
1522544142, 286, 1278476, 2, 28165
1522544143, 287, 1000535, 1, 228616
1522544145, 288, 1000535, 2, 150273
1522544148, 289, 1511855, 2, 251594
1522544148, 290, 437643, 0, 511590
1522544153, 291, 3224957, 4, 403023
