time,iteration,size,seconds,microseconds
1522533140, 160, 1511855, 1, 942378
1522533147, 161, 3688570, 7, 664319
1522533149, 162, 1511855, 1, 733064
1522533151, 163, 1000535, 1, 904384
1522533153, 164, 1278476, 1, 891327
1522533154, 165, 437643, 0, 772979
1522533159, 166, 3224957, 5, 62285
1522533168, 167, 4919186, 9, 113731
1522533169, 168, 1000535, 1, 435326
1522533176, 169, 3688570, 6, 654809
1522533178, 170, 1000535, 2, 252378
1522533181, 171, 1087667, 2, 304045
1522533184, 172, 1615289, 3, 189772
1522533187, 173, 1278476, 2, 810077
1522533190, 174, 1278476, 2, 939123
1522533195, 175, 3224957, 5, 805337
1522533200, 176, 3688570, 4, 760723
1522533202, 177, 1511855, 1, 949545
1522533204, 178, 1000535, 1, 888237
1522533206, 179, 1278476, 2, 405691
1522533209, 180, 1278476, 2, 355053
1522533211, 181, 1511855, 1, 842890
1522533213, 182, 951239, 2, 48343
1522533216, 183, 1615289, 2, 969387
1522533217, 184, 1000535, 1, 700783
1522533220, 185, 1615289, 3, 113435
1522533222, 186, 951239, 2, 43516
1522533228, 187, 3224957, 5, 164502
1522533228, 188, 437643, 0, 671513
1522533230, 189, 1000535, 1, 626747
1522533232, 190, 1278476, 2, 472256
1522533234, 191, 951239, 1, 637479
1522533239, 192, 3224957, 4, 809142
1522533240, 193, 1000535, 1, 333184
1522533242, 194, 1278476, 1, 845169
1522533244, 195, 1511855, 1, 982525
1522533251, 196, 4919186, 7, 434483
1522533258, 197, 3688570, 6, 288725
1522533260, 198, 951239, 1, 902004
1522533262, 199, 1000535, 2, 251101
1522533265, 200, 1278476, 3, 277758
1522533267, 201, 1000535, 1, 358511
1522533269, 202, 1087667, 2, 427968
1522533271, 203, 951239, 1, 946228
1522533276, 204, 3224957, 4, 811992
1522533279, 205, 1615289, 3, 482259
1522533287, 206, 4919186, 7, 476063
1522533288, 207, 1000535, 1, 533682
1522533290, 208, 1511855, 1, 842027
1522533297, 209, 4919186, 6, 553576
1522533299, 210, 1278476, 2, 49552
1522533301, 211, 1000535, 2, 47349
1522533306, 212, 3224957, 5, 119954
1522533307, 213, 1000535, 1, 430883
1522533310, 214, 1615289, 2, 324677
1522533314, 215, 3224957, 4, 334452
1522533315, 216, 1000535, 1, 224476
1522533318, 217, 1615289, 2, 766682
1522533321, 218, 1511855, 2, 663876
1522533322, 219, 951239, 1, 737686
1522533330, 220, 4919186, 8, 56103
1522533332, 221, 1087667, 1, 590846
1522533335, 222, 951239, 2, 852660
1522533336, 223, 1000535, 1, 525817
1522533344, 224, 4919186, 7, 271943
1522533345, 225, 1511855, 1, 743532
1522533348, 226, 1511855, 2, 763468
1522533353, 227, 3224957, 5, 15337
1522533354, 228, 437643, 0, 508876
1522533357, 229, 1278476, 3, 2763
1522533362, 230, 3688570, 5, 701297
1522533364, 231, 1087667, 1, 637903
1522533366, 232, 1278476, 1, 944523
1522533367, 233, 1087667, 1, 576250
1522533369, 234, 1087667, 1, 601964
1522533372, 235, 1615289, 3, 272442
1522533374, 236, 1000535, 1, 390712
1522533374, 237, 437643, 0, 658371
1522533376, 238, 1000535, 1, 638029
1522533378, 239, 1511855, 2, 253031
1522533380, 240, 1087667, 2, 50985
1522533386, 241, 3224957, 5, 155244
1522533387, 242, 1000535, 1, 289425
1522533389, 243, 1000535, 2, 544828
1522533398, 244, 4919186, 8, 925140
1522533400, 245, 1000535, 1, 538808
1522533401, 246, 951239, 1, 428914
1522533404, 247, 1087667, 3, 113629
1522533407, 248, 1000535, 2, 181644
1522533414, 249, 3688570, 7, 245106
1522533416, 250, 1000535, 2, 409110
1522533421, 251, 3224957, 4, 407466
1522533428, 252, 4919186, 7, 469085
1522533430, 253, 951239, 1, 740223
1522533431, 254, 437643, 0, 920077
1522533432, 255, 1000535, 1, 536650
1522533435, 256, 1278476, 2, 865721
1522533436, 257, 437643, 0, 619282
1522533437, 258, 437643, 1, 228038
1522533443, 259, 3688570, 6, 277447
1522533445, 260, 951239, 1, 455379
1522533457, 261, 4919186, 12, 300759
1522533458, 262, 1000535, 1, 210391
1522533460, 263, 1000535, 2, 209127
1522533462, 264, 1000535, 1, 957232
1522533468, 265, 3224957, 5, 560126
1522533470, 266, 1087667, 2, 97502
1522533472, 267, 1000535, 2, 134308
1522533476, 268, 1511855, 3, 574964
1522533482, 269, 4919186, 6, 689128
1522533484, 270, 1000535, 1, 837449
1522533486, 271, 1000535, 2, 146524
1522533488, 272, 951239, 1, 340517
1522533492, 273, 3224957, 4, 394830
1522533494, 274, 1000535, 1, 481902
1522533501, 275, 3688570, 6, 916856
1522533507, 276, 3224957, 6, 54014
1522533508, 277, 1000535, 1, 620893
1522533510, 278, 951239, 1, 644607
1522533512, 279, 1000535, 2, 552430
1522533517, 280, 3224957, 4, 796907
1522533518, 281, 437643, 0, 527827
1522533520, 282, 1511855, 2, 154334
1522533522, 283, 1087667, 2, 26164
1522533524, 284, 1000535, 1, 997343
1522533525, 285, 951239, 1, 192571
1522533528, 286, 1278476, 2, 357964
1522533529, 287, 437643, 1, 26961
1522533531, 288, 1087667, 2, 49900
1522533536, 289, 3224957, 5, 193872
1522533538, 290, 1087667, 2, 476767
1522533540, 291, 1000535, 1, 538352
1522533543, 292, 1615289, 3, 281113
1522533546, 293, 1615289, 2, 749412
1522533548, 294, 1000535, 1, 849775
1522533549, 295, 951239, 1, 377778
1522533554, 296, 3224957, 4, 971144
1522533556, 297, 1278476, 1, 848174
1522533558, 298, 1278476, 2, 249180
1522533563, 299, 3224957, 5, 291922
1522533566, 300, 1278476, 2, 102460
1522533566, 301, 437643, 0, 905101
1522533567, 302, 437643, 0, 617850
1522533569, 303, 1000535, 2, 89329
1522533577, 304, 3688570, 8, 42445
1522533580, 305, 1278476, 2, 970238
1522533583, 306, 1511855, 2, 718549
1522533585, 307, 1615289, 2, 496158
1522533587, 308, 1000535, 1, 843520
1522533589, 309, 1087667, 2, 45079
1522533591, 310, 437643, 1, 438532
1522533593, 311, 1000535, 1, 942749
1522533595, 312, 951239, 2, 249312
1522533595, 313, 437643, 0, 491697
1522533597, 314, 1511855, 2, 47831
1522533605, 315, 4919186, 7, 494634
1522533606, 316, 1000535, 1, 303563
1522533607, 317, 951239, 1, 256021
1522533609, 318, 437643, 1, 24110
1522533610, 319, 951239, 1, 431398
1522533613, 320, 1511855, 2, 609215
1522533615, 321, 1615289, 2, 407664
1522533617, 322, 951239, 2, 246079
1522533620, 323, 1000535, 3, 188243
1522533623, 324, 1000535, 2, 557134
1522533628, 325, 3224957, 5, 441673
1522533634, 326, 3688570, 5, 816356
1522533643, 327, 4919186, 8, 541176
1522533646, 328, 1615289, 2, 926559
1522533648, 329, 1000535, 2, 144554
1522533654, 330, 4919186, 6, 660688
1522533656, 331, 1087667, 1, 716696
1522533658, 332, 951239, 2, 133728
1522533661, 333, 1087667, 2, 497265
1522533662, 334, 1000535, 1, 433557
1522533665, 335, 1087667, 2, 458377
1522533670, 336, 3688570, 5, 214541
1522533675, 337, 3688570, 5, 227924
1522533677, 338, 1615289, 2, 322103
1522533683, 339, 3224957, 5, 233822
1522533685, 340, 951239, 2, 171516
1522533688, 341, 1278476, 2, 871022
1522533688, 342, 437643, 0, 519469
1522533690, 343, 1087667, 1, 727790
1522533693, 344, 1615289, 3, 173757
1522533699, 345, 3224957, 5, 529173
1522533700, 346, 951239, 1, 502640
1522533702, 347, 1087667, 1, 774843
1522533704, 348, 1000535, 1, 636545
1522533704, 349, 437643, 0, 613939
1522533711, 350, 3688570, 6, 860854
1522533712, 351, 437643, 0, 614440
1522533720, 352, 4919186, 7, 986158
1522533721, 353, 1087667, 1, 742976
1522533723, 354, 1000535, 1, 845681
1522533725, 355, 1087667, 2, 140664
1522533731, 356, 3688570, 5, 642831
1522533733, 357, 1278476, 1, 722476
1522533736, 358, 1278476, 2, 969862
1522533739, 359, 1278476, 2, 877225
1522533740, 360, 1278476, 1, 739534
1522533741, 361, 437643, 1, 24996
1522533743, 362, 1000535, 1, 680558
1522533752, 363, 4919186, 9, 273879
1522533754, 364, 1000535, 1, 435755
1522533756, 365, 1087667, 1, 736909
1522533757, 366, 1000535, 1, 433771
1522533759, 367, 1000535, 1, 895002
1522533761, 368, 1615289, 2, 507796
1522533767, 369, 3688570, 5, 655079
1522533769, 370, 1000535, 2, 23841
1522533771, 371, 1087667, 1, 740139
1522533773, 372, 1615289, 2, 99600
1522533773, 373, 437643, 0, 564941
1522533775, 374, 951239, 1, 641718
1522533777, 375, 1087667, 2, 260511
1522533779, 376, 1000535, 1, 828048
1522533782, 377, 1511855, 2, 866655
1522533785, 378, 1615289, 3, 276759
1522533787, 379, 1000535, 1, 330540
1522533789, 380, 1087667, 2, 252650
1522533792, 381, 1000535, 3, 71366
1522533794, 382, 1278476, 2, 252723
1522533797, 383, 1278476, 2, 559620
1522533804, 384, 4919186, 7, 568596
1522533810, 385, 3688570, 5, 844915
1522533817, 386, 4919186, 6, 895121
1522533823, 387, 3688570, 5, 802788
1522533824, 388, 1000535, 1, 534914
1522533827, 389, 1278476, 2, 125492
1522533829, 390, 1615289, 2, 481280
1522533830, 391, 437643, 0, 547458
1522533831, 392, 1000535, 1, 862249
1522533834, 393, 1000535, 2, 195523
1522533839, 394, 3224957, 4, 913845
1522533839, 395, 437643, 0, 717165
1522533841, 396, 1278476, 2, 46667
1522533846, 397, 3224957, 4, 505377
1522533848, 398, 1087667, 1, 740746
1522533856, 399, 4919186, 8, 297245
1522533863, 400, 4919186, 6, 755269
1522533870, 401, 4919186, 7, 682085
1522533872, 402, 1278476, 1, 737068
1522533874, 403, 1000535, 1, 821618
1522533876, 404, 951239, 2, 375818
1522533883, 405, 3688570, 6, 886479
1522533886, 406, 1615289, 2, 840582
1522533887, 407, 437643, 1, 23248
1522533889, 408, 951239, 1, 819111
1522533892, 409, 1511855, 3, 300102
1522533895, 410, 1511855, 2, 969168
1522533897, 411, 1000535, 1, 536012
1522533900, 412, 1615289, 3, 177440
1522533903, 413, 1278476, 2, 968448
1522533905, 414, 1511855, 2, 454230
1522533907, 415, 1278476, 1, 752893
1522533908, 416, 437643, 0, 570283
1522533910, 417, 1278476, 2, 591841
1522533911, 418, 437643, 0, 613165
1522533917, 419, 3224957, 5, 786120
1522533918, 420, 1000535, 1, 428156
1522533920, 421, 1000535, 2, 308587
1522533921, 422, 437643, 0, 613679
1522533923, 423, 1000535, 1, 944780
1522533924, 424, 951239, 1, 317786
1522533926, 425, 951239, 1, 886313
